sitename,PISCO_CODE,lat,lon
CAYUCOS_UC,SCAY01,35.434150,-120.950473
CHINA_ROCK_CEN,SCHN01,36.598436,-121.972419
COJO_E,SCOJ02,34.441287,-120.416793
COJO_W,SCOJ01,34.443204,-120.423326
COOPER_CEN,SCPR01,36.263146,-121.856608
COUNTY_LINE_CEN,SCOL01,34.043017,-118.952217
CROWBAR_CEN,SCRW01,35.226163,-120.881427
CYPRESS_PT_DC,SCYP02,36.579646,-121.982468
CYPRESS_PT_UC,SCYP01,36.585774,-121.980331
DOLAN_DC,SDLN02,36.100175,-121.628374
DOLAN_UC,SDLN01,36.109202,-121.633561
DUCK_POND_DC,SDKP02,35.857257,-121.424817
DUCK_POND_UC,SDKP01,35.858239,-121.426420
DUNES_CEN,SDNS01,34.773100,-120.650220
EL_MATADOR_CEN,SELM01,34.033283,-118.870167
ESALEN_DC,SESA02,36.124410,-121.647987
ESALEN_UC,SESA01,36.128113,-121.653046
ESTERO_CEN,SEST01,35.472387,-121.029632
FALSE_SUR_CEN,SFSR01,36.277556,-121.886822
FULLERS_CEN,SFLR01,36.208106,-121.752165
GREEN_PEAK_CEN,SGRP01,35.190104,-120.830687
HARMONY_CEN,SHRM01,35.496410,-121.057808
HOPKINS_DC,SHOP02,36.623586,-121.904196
HOPKINS_UC,SHOP01,36.621649,-121.900789
HORSESHOE_REEF_E,SHOR02,34.389450,-119.544767
HORSESHOE_REEF_W,SHOR01,34.391733,-119.557700
IV_REEF_E,SIVR02,34.402950,-119.864517
IV_REEF_W,SIVR01,34.404733,-119.876283
JALAMA_N,SJAL01,34.486960,-120.500523
JALAMA_S,SJAL02,34.480842,-120.494458
LA_CRUZ_DC,SLAC02,35.710426,-121.324076
LA_CRUZ_UC,SLAC01,35.713009,-121.325389
LEO_CARRILLO_CEN,SLEC01,34.037617,-118.921983
LINGCOD_DC,SLNG02,36.562028,-121.962185
LINGCOD_UC,SLNG01,36.565485,-121.968571
LITTLE_DUME_CEN,SLID01,34.004917,-118.789117
LITTLE_IRISH_CEN,SLIR02,35.178059,-120.817733
LITTLE_IRISH_DC,SLIR03,35.175931,-120.812501
LITTLE_IRISH_UC,SLIR01,35.184210,-120.825084
LONE_TREE_CEN,SLNT01,36.566418,-121.970688
LOPEZ_DC,SLOP03,36.022241,-121.581233
LOPEZ_OLD_UC,SLOP02,36.030994,-121.582622
LOPEZ_UC,SLOP01,36.029010,-121.581676
LOVERS_DC,SLVR02,36.625775,-121.910735
LOVERS_UC,SLVR01,36.624220,-121.909082
LUCIA_DC,SLUC02,36.016207,-121.558327
LUCIA_UC,SLUC01,36.016003,-121.564657
MACABEE_DC,SMAC02,36.618184,-121.896835
MACABEE_UC,SMAC01,36.617148,-121.895695
MALPASO_CEN,SMAL01,36.465747,-121.933984
MCWAY_DC,SMCW02,36.163808,-121.681516
MCWAY_UC,SMCW01,36.166574,-121.685982
MILL_CREEK_DC,SMLC02,35.972098,-121.491162
MILL_CREEK_UC,SMLC01,35.975929,-121.493489
MONASTERY_DC,SMON02,36.525415,-121.933322
MONASTERY_UC,SMON01,36.525267,-121.930507
MONTANA_DE_ORO_CEN,SMDO01,35.233230,-120.890810
NAPLES_CEN,SNAP03,34.421850,-119.951500
NAPLES_E,SNAP02,34.423333,-119.951017
NAPLES_W,SNAP01,34.424633,-119.955317
NORTH_SAN_SIMEON_CEN,SNSM01,35.635042,-121.211614
OTTER_PT_DC,SOTT02,36.636484,-121.921162
OTTER_PT_UC,SOTT01,36.634633,-121.918929
PALO_COLORADO_CEN,SPAL01,36.397717,-121.911431
PARANOIDS_CEN,SPRN01,35.537171,-121.100215
PARTINGTON_CEN,SPAR01,36.174300,-121.699000
PESCADERO_DC,SPES02,36.559412,-121.955191
PESCADERO_UC,SPES01,36.561121,-121.959761
PICO_CREEK_DC,SPCC01,35.605322,-121.150695
PICO_CREEK_UC,SPCC02,35.612518,-121.155690
PINNACLES_IN,SPNC01,36.559476,-121.966113
PINNACLES_OUT,SPNC02,36.557936,-121.967737
PINOS_CEN,SPNS01,36.640454,-121.928734
PLASKETT_DC,SPLS02,35.912913,-121.480079
PLASKETT_UC,SPLS01,35.915871,-121.478733
POINT_DUME_CEN,SPOD01,33.998533,-118.805633
PT_JOE_CEN,SPTJ01,36.605094,-121.971465
PT_SUR_DC,SPTS02,36.283070,-121.893321
PT_SUR_UC,SPTS01,36.291239,-121.898882
PURISIMA_DC,SPUR01,34.726949,-120.627138
PURISIMA_N,SPUR02,34.729501,-120.631705
PURISIMA_S,SPUR01,34.726949,-120.627138
PURISIMA_UC,SPUR02,34.729501,-120.631705
RADAR_CEN,SRDR01,35.512221,-121.073443
SABER_JETS_CEN,SSBJ01,36.948018,-122.034035
SALMON_CREEK_DC,SSLC02,35.806176,-121.365886
