Year,POLY_ID,dens_sm,pupratio,lin_dens,trend5yr,Sect_ID
2012.0,1008o,0.006166,0.0,0.206349,-0.193163,13.0
2012.0,1006o,0.0,0.0,0.063492,-0.192801,13.0
2012.0,1004o,0.0,0.0,0.111111,-0.193639,13.0
2012.0,1002o,0.0,0.0,0.126984,-0.195411,13.0
2012.0,1000n,0.060739,0.0,0.142857,-0.198167,13.0
2012.0,998n,0.065464,0.0,0.15873,-0.201664,13.0
2012.0,996n,0.072276,0.0,0.174603,-0.205773,13.0
2012.0,994n,0.079699,0.0,0.190476,-0.210368,13.0
2012.0,992n,0.094057,0.0,0.222222,-0.215173,13.0
2012.0,997n,0.065464,0.0,0.15873,-0.203622,13.0
2012.0,995n,0.072276,0.0,0.174603,-0.208034,13.0
2012.0,993n,0.085687,0.0,0.206349,-0.212741,13.0
2012.0,991n,0.101254,0.0,0.238095,-0.217656,13.0
2012.0,989n,0.096486,0.0,0.238095,-0.222477,13.0
2012.0,987n,0.136521,0.0,0.333333,-0.226923,13.0
2012.0,985n,0.131363,0.0,0.31746,-0.230061,13.0
2012.0,983n,0.102749,0.0,0.253968,-0.230982,13.0
2012.0,981n,0.095757,0.0,0.253968,-0.230041,13.0
2012.0,979o,0.004279,0.0,0.31746,-0.227525,13.0
2012.0,977o,0.004279,0.0,0.301587,-0.223556,13.0
2012.0,975o,0.010372,0.0,0.301587,-0.218142,13.0
2012.0,973o,0.010372,0.0,0.301587,-0.210688,13.0
2012.0,971o,0.01666,0.0,0.285714,-0.200613,12.0
2012.0,969o,0.01666,0.0,0.269841,-0.187439,12.0
2012.0,967o,0.021931,0.0,0.31746,-0.17137,12.0
2012.0,965o,0.032628,0.0,0.31746,-0.152555,12.0
2012.0,990n,0.096486,0.0,0.238095,-0.220134,13.0
2012.0,988n,0.108542,0.0,0.269841,-0.224763,13.0
2012.0,986n,0.144374,0.0,0.349206,-0.22872,13.0
2012.0,984n,0.116353,0.0,0.285714,-0.230787,13.0
2012.0,982n,0.102749,0.0,0.253968,-0.230724,13.0
2012.0,980n,0.10383,0.0,0.253968,-0.228976,13.0
2012.0,978n,0.136192,0.0,0.301587,-0.22569,13.0
2012.0,974n,0.139945,0.0,0.31746,-0.214727,13.0
2012.0,976n,0.136192,0.0,0.301587,-0.221065,13.0
2012.0,972n,0.126534,0.0,0.285714,-0.205998,13.0
2012.0,970n,0.110967,0.0,0.269841,-0.194447,12.0
2012.0,968n,0.137112,0.0,0.333333,-0.17975,12.0
2012.0,966n,0.124164,0.0,0.31746,-0.162252,12.0
2012.0,964n,0.160573,0.0,0.396825,-0.142315,12.0
2012.0,962n,0.207057,0.0,0.47619,-0.120592,12.0
2012.0,960n,0.27805,0.0,0.587302,-0.096739,12.0
2012.0,958n,0.26856,0.0,0.571429,-0.070666,12.0
2012.0,956o,0.0412,0.019608,0.825397,-0.043066,12.0
2012.0,963n,0.1981,0.0,0.460317,-0.131688,12.0
2012.0,961n,0.224661,0.0,0.507937,-0.108939,12.0
2012.0,959n,0.296963,0.0,0.619048,-0.083959,12.0
2012.0,957o,0.035334,0.0,0.650794,-0.057013,12.0
2012.0,955o,0.053015,0.015385,1.047619,-0.02881,12.0
2012.0,953o,0.046923,0.013333,1.206349,0.000108,12.0
2012.0,951o,0.068904,0.011765,1.365079,0.028678,12.0
2012.0,949n,0.683367,0.010753,1.492063,0.056352,12.0
2012.0,947o,0.131853,0.020202,1.603175,0.082479,12.0
2012.0,945o,0.141008,0.018692,1.730159,0.106715,12.0
2012.0,943n,0.894739,0.014599,2.206349,0.128135,12.0
2012.0,941n,0.994721,0.013072,2.460317,0.146638,12.0
2012.0,939n,1.149446,0.016949,2.857143,0.162236,12.0
2012.0,937n,1.371418,0.019048,3.396825,0.175026,12.0
2012.0,935n,1.590669,0.016327,3.952381,0.185281,12.0
2012.0,933n,1.782408,0.026022,4.380952,0.193052,12.0
2012.0,931n,2.191865,0.039394,5.444444,0.198149,12.0
2012.0,929n,2.599477,0.041131,6.428571,0.200515,12.0
2012.0,927n,2.898982,0.04388,7.174603,0.200204,12.0
2012.0,925n,3.183619,0.05042,7.936508,0.197485,12.0
2012.0,923n,3.186591,0.055085,7.904762,0.192628,12.0
2012.0,921n,3.314967,0.077406,8.174603,0.186141,12.0
2012.0,919n,3.308173,0.077731,8.142857,0.177904,12.0
2012.0,917n,3.296942,0.087049,8.126984,0.167708,12.0
2012.0,915n,3.072598,0.095455,7.650794,0.156116,11.0
2012.0,912n,2.949938,0.099057,7.396825,0.137414,11.0
2012.0,902n,2.276135,0.139286,5.063492,0.077474,11.0
2012.0,954o,0.046923,0.014085,1.142857,-0.014361,12.0
2012.0,952n,0.591593,0.012987,1.238095,0.014469,12.0
2012.0,950o,0.069017,0.011364,1.412698,0.04267,12.0
2012.0,948n,0.686572,0.010101,1.587302,0.06961,12.0
2012.0,946o,0.151705,0.018692,1.730159,0.094896,12.0
2012.0,944o,0.197575,0.015873,2.031746,0.117809,12.0
2012.0,942n,0.955045,0.013605,2.365079,0.137753,12.0
2012.0,940n,1.093018,0.017857,2.714286,0.154789,12.0
2012.0,938n,1.271285,0.020305,3.190476,0.168975,12.0
2012.0,936n,1.543937,0.017021,3.793651,0.180452,12.0
2012.0,934n,1.6413,0.023715,4.111111,0.189496,12.0
2012.0,932n,1.99874,0.033445,4.904762,0.195946,12.0
2012.0,930n,2.313521,0.037249,5.746032,0.199681,12.0
2012.0,928n,2.682655,0.042394,6.634921,0.200679,12.0
2012.0,926n,3.044495,0.04415,7.507937,0.199137,12.0
2012.0,924n,3.256981,0.051125,8.15873,0.195278,12.0
2012.0,922n,3.387389,0.07362,8.333333,0.189597,12.0
2012.0,920n,3.350521,0.078838,8.253968,0.18227,12.0
2012.0,918n,3.389249,0.086066,8.412698,0.173028,12.0
