"shapeid","x","y","PERIMETER","AREA","DEPTH","ATOS_ID","HAB_ID","ACRES","HECTARES","ZONE_CODE","ZONE","Year","POLY_ID","dens_sm","pupratio","lin_dens","trend5yr","Sect_ID"
"66","-120.21379245","34.4543466817","2.70389558357","0.3986750527","-30 to -60m","1165","1165o","98.5147509785","39.8675052699","o","3","2009.0","1165o","0.048029","0.0","0.079368","0.325323","14.0"
"67","-120.199017757","34.4541577296","2.99884512108","0.48121545437","-30 to -60m","1168","1168o","118.910928421","48.1215454375","o","3","2009.0","1168o","0.048029","0.0","0.079368","0.334151","14.0"
"68","-120.129747697","34.4515253179","4.60406215938","0.93363200505","-30 to -60m","1182","1182o","230.705492757","93.3632005048","o","3","2009.0","1182o","0.0","0.0","0.111115","0.287334","14.0"
"69","-120.189069104","34.4542994015","3.45396605197","0.52929168692","-30 to -60m","1170","1170o","130.790824204","52.9291686921","o","3","2009.0","1170o","0.048029","0.0","0.079368","0.333414","14.0"
"70","-120.179177274","34.4547413327","3.97256489788","0.71854717387","-30 to -60m","1172","1172o","177.556873501","71.8547173869","o","3","2009.0","1172o","0.0","0.0","0.095241","0.324372","14.0"
"71","-120.168028824","34.4541694662","4.35501903174","0.78149992915","-30 to -60m","1174","1174o","193.11283811","78.1499929154","o","3","2009.0","1174o","0.0","0.0","0.126989","0.310728","14.0"
"72","-120.14899234","34.4536530795","4.73827926371","0.80193278538","-30 to -60m","1178","1178o","198.161906842","80.1932785377","o","3","2009.0","1178o","0.0","0.0","0.111115","0.289629","14.0"
"73","-120.158458605","34.4543848876","4.69479254873","0.84694895584","-30 to -60m","1176","1176o","209.285644817","84.6948955844","o","3","2009.0","1176o","0.0","0.0","0.126989","0.29753","14.0"
"74","-120.458683425","34.4408945148","3.2972831098","0.45518466468","0 to -30m","1115","1115n","112.478580205","45.5184664685","n","2","2009.0","1115n","1.076419","0.0","0.825429","-0.071659","14.0"
"75","-120.448794301","34.4425297997","3.33064846256","0.56714374278","0 to -30m","1117","1117n","140.144270906","56.7143742779","n","2","2009.0","1117n","1.105884","0.0","0.857176","-0.074123","14.0"
"76","-120.429868293","34.4445147267","3.85286324318","0.72868758131","0 to -30m","1121","1121n","180.062622749","72.8687581307","n","2","2009.0","1121n","1.377698","0.0","1.158775","-0.073711","14.0"
"77","-120.439699012","34.4451222101","3.77360069649","0.68261632552","0 to -30m","1119","1119n","168.678167514","68.2616325524","n","2","2009.0","1119n","1.276214","0.0","1.031786","-0.074908","14.0"
"78","-120.419166243","34.4436706902","4.42940262964","0.76347403786","0 to -30m","1123","1123n","188.658543365","76.3474037859","n","2","2009.0","1123n","1.420608","0.0","1.238144","-0.070317","14.0"
"79","-120.410566198","34.4448432123","5.01329050844","0.80274286289","0 to -30m","1125","1125n","198.362081355","80.2742862891","n","2","2009.0","1125n","1.43331","0.0","1.285764","-0.06417","14.0"
"80","-120.401085463","34.4444810737","5.73487578257","1.08952471862","0 to -30m","1127","1127n","269.227421212","108.952471862","n","2","2009.0","1127n","1.43331","0.0","1.269891","-0.054796","14.0"
"81","-120.391169658","34.4435954826","6.17279974127","1.21258530326","0 to -30m","1129","1129n","299.636353924","121.258530326","n","2","2009.0","1129n","1.398269","0.0","1.269891","-0.040941","14.0"
"82","-120.381472781","34.4429955894","6.67215705729","1.14933481927","0 to -30m","1131","1131n","284.006818948","114.933481927","n","2","2009.0","1131n","1.339537","0.0","1.254017","-0.019441","14.0"
"83","-120.361306589","34.4470165751","5.66267720203","1.24380126284","0 to -30m","1135","1135n","307.349985525","124.380126284","n","2","2009.0","1135n","0.819882","0.0","0.904797","0.035847","14.0"
"84","-120.371799275","34.4435952013","6.88855680075","1.39911927915","0 to -30m","1133","1133n","345.729903193","139.911927915","n","2","2009.0","1133n","0.903142","0.0","0.936544","0.007491","14.0"
"85","-120.351440854","34.4497202136","4.83246340907","0.77355073821","0 to -30m","1137","1137n","191.148550248","77.3550738205","n","2","2009.0","1137n","0.594253","0.0","0.714313","0.063887","14.0"
"86","-120.341945758","34.4519379772","4.05657283294","0.72268414697","0 to -30m","1139","1139n","178.579141818","72.2684146972","n","2","2009.0","1139n","0.856942","0.0","1.04766","0.090526","14.0"
"87","-120.332507482","34.4551964948","3.93745324712","0.60472544501","0 to -30m","1141","1141n","149.430911772","60.4725445009","n","2","2009.0","1141n","0.783765","0.0","0.952418","0.11561","14.0"
"88","-120.323336301","34.4562731147","4.24105213841","0.85644398949","0 to -30m","1143","1143n","211.631918728","85.6443989491","n","2","2009.0","1143n","0.686006","0.0","0.825429","0.139233","14.0"
"89","-120.453384268","34.439875225","3.24712858036","0.35267773472","0 to -30m","1116","1116n","87.1485661724","35.2677734718","n","2","2009.0","1116n","1.105884","0.0","0.857176","-0.073079","14.0"
"90","-120.463037194","34.4420950953","3.30095965272","0.43174214521","0 to -30m","1114","1114n","106.685807488","43.1742145211","n","2","2009.0","1114n","0.850896","0.0","0.634945","-0.06993","14.0"
"91","-120.424333465","34.4436353428","3.77805202141","0.6296180891","0 to -30m","1122","1122n","155.582018087","62.9618089104","n","2","2009.0","1122n","1.409826","0.0","1.206396","-0.072285","14.0"
"92","-120.473179497","34.4452625438","3.11314658414","0.39806918177","0 to -30m","1112","1112n","98.365037012","39.8069181772","n","2","2009.0","1112n","0.896746","0.048778","0.682566","-0.065166","14.0"
"93","-120.444268541","34.4441124011","3.58808750388","0.53960544511","0 to -30m","1118","1118n","133.339409355","53.9605445108","n","2","2009.0","1118n","1.23889","0.0","1.015913","-0.074745","14.0"
"94","-120.434952236","34.4452049388","3.47982434556","0.51373434395","0 to -30m","1120","1120n","126.946521035","51.3734343951","n","2","2009.0","1120n","1.312067","0.0","1.079407","-0.074562","14.0"
"95","-120.406016235","34.4447849216","5.45760313332","1.0240582301","0 to -30m","1126","1126n","253.050299593","102.40582301","n","2","2009.0","1126n","1.43331","0.0","1.285764","-0.059934","14.0"
"96","-120.396157755","34.4440590222","5.95429471404","1.13426656253","0 to -30m","1128","1128n","280.283371619","113.426656253","n","2","2009.0","1128n","1.43331","0.0","1.285764","-0.048565","14.0"
"97","-120.386116124","34.443253925","6.45056476746","1.26237760493","0 to -30m","1130","1130n","311.940299623","126.237760493","n","2","2009.0","1130n","1.398269","0.0","1.285764","-0.031458","14.0"
"98","-120.376828","34.4429283783","6.96746369057","1.40872305267","0 to -30m","1132","1132n","348.103047311","140.872305267","n","2","2009.0","1132n","1.382367","0.0","1.254017","-0.006477","14.0"
"99","-120.366808018","34.4446260627","6.48623537306","1.29018830767","0 to -30m","1134","1134n","318.812473932","129.018830767","n","2","2009.0","1134n","0.784581","0.0","0.841302","0.021669","14.0"
"100","-120.480559132","34.4524574326","4.05191059857","0.76331697245","0 to -30m","1110","1110n","188.619731658","76.331697245","n","2","2009.0","1110n","0.460106","0.136357","0.39684","-0.059154","13.0"
"101","-120.328437991","34.4559592218","3.95382427029","0.61851460016","0 to -30m","1142","1142n","152.838286216","61.8514600161","n","2","2009.0","1142n","0.718134","0.0","0.873049","0.127625","14.0"
"102","-120.318351711","34.4563899037","4.11144075435","0.60562888127","0 to -30m","1144","1144n","149.654155734","60.5628881271","n","2","2009.0","1144n","0.675223","0.0","0.793681","0.150729","14.0"
"103","-120.106711966","34.4604370308","3.16800206295","0.51040092489","0 to -30m","1186","1186n","126.122815245","51.0400924886","n","2","2009.0","1186n","0.177937","0.0","0.095241","0.300355","14.0"
"104","-120.484224391","34.4607111118","4.85137278795","0.87378622956","0 to -30m","1108","1108n","215.917279575","87.3786229557","n","2","2009.0","1108n","0.419707","0.14285","0.380967","-0.052723","13.0"
"105","-120.218597244","34.4532754634","2.61333828433","0.3676235313","-30 to -60m","1164","1164o","90.8417529382","36.76235313","o","3","2009.0","1164o","0.048029","0.0","0.079368","0.320299","14.0"
"106","-120.138885619","34.4525585665","4.63186404879","0.87689496997","-30 to -60m","1180","1180o","216.685466062","87.6894969972","o","3","2009.0","1180o","0.0","0.0","0.126989","0.286481","14.0"
"107","-120.163212611","34.4544902252","4.5098734511","0.77474193852","-30 to -60m","1175","1175o","191.442902256","77.4741938517","o","3","2009.0","1175o","0.0","0.0","0.126989","0.303472","14.0"
"108","-120.153615578","34.4539878196","4.83717405465","0.86325887234","-30 to -60m","1177","1177o","213.315912954","86.3258872337","o","3","2009.0","1177o","0.0","0.0","0.126989","0.292883","14.0"
"109","-120.50723448","34.4615950924","5.19000930329","0.82164131619","-30 to -60m","1106","1106o","203.031990867","82.1641316192","o","3","2009.0","1106o","0.107526","0.19999","0.380967","-0.046582","13.0"
"110","-120.510845533","34.4667310709","5.67675063349","0.76439183815","-30 to -60m","1104","1104o","188.885336757","76.4391838153","o","3","2009.0","1104o","0.080027","0.258051","0.619071","-0.040998","13.0"
"111","-120.514355941","34.4722066598","6.10205297297","0.86642339526","-30 to -60m","1102","1102o","214.097883598","86.6423395262","o","3","2009.0","1102o","0.080027","0.226404","1.031786","-0.035966","13.0"
"112","-120.518647923","34.4774557596","6.16065195162","1.05829629826","-30 to -60m","1100","1100o","261.510710486","105.829629826","o","3","2009.0","1100o","0.080027","0.235282","1.666732","-0.03114","13.0"
"113","-120.524741187","34.483329436","6.19503333307","1.13618479153","-30 to -60m","1098","1098o","280.757376329","113.618479153","o","3","2009.0","1098o","0.080027","0.226793","1.888963","-0.025421","13.0"
"114","-120.527658665","34.489426965","6.12630963645","0.74317308594","-30 to -60m","1096","1096o","183.642068897","74.3173085939","o","3","2009.0","1096o","0.046412","0.224288","2.079446","-0.018118","13.0"
