PERIMETER,AREA,DEPTH,ATOS_ID,HAB_ID,ACRES,HECTARES,ZONE_CODE,ZONE,Year,POLY_ID,dens_sm,pupratio,lin_dens,trend5yr,Sect_ID
4.824175273,0.923282399,0 to -30m,208,208n,228.1480494,92.32823989,n,2,2016,208n,0.415833,0.045455,0.365079,0.031656,2
4.273007554,0.801953746,0 to -30m,206,206n,198.1670864,80.19537461,n,2,2016,206n,0.341575,0,0.301587,0.03507,2
4.226307848,0.794106476,0 to -30m,204,204n,196.2279837,79.4106476,n,2,2016,204n,0.021342,0,0.079365,0.038474,2
4.177456678,0.762041642,0 to -30m,202,202n,188.3045907,76.20416422,n,2,2016,202n,0.021342,0,0.079365,0.04206,2
4.75407224,0.770104507,0 to -30m,200,200n,190.2969679,77.01045067,n,2,2016,200n,0.021342,0,0.063492,0.045673,2
4.776974852,0.900936404,0 to -30m,198,198n,222.6262339,90.09364043,n,2,2016,198n,0.149307,0.153846,0.238095,0.049606,2
5.30831088,0.923343242,0 to -30m,196,196n,228.163084,92.33432419,n,2,2016,196n,0.258965,0.210526,0.365079,0.053744,2
6.249149964,1.154032533,0 to -30m,194,194n,285.1676493,115.4032533,n,2,2016,194n,0.594581,0.25,0.793651,0.057663,2
6.691967369,1.230637645,0 to -30m,192,192n,304.0971848,123.0637645,n,2,2016,192n,1.14473,0.216216,1.428571,0.061624,2
6.946216272,1.303429245,0 to -30m,190,190n,322.0843808,130.3429245,n,2,2016,190n,1.227369,0.227848,1.539683,0.065451,2
6.894247571,1.294605413,0 to -30m,188,188n,319.9039645,129.4605413,n,2,2016,188n,1.227369,0.230769,1.52381,0.069408,2
6.255742044,1.238780179,0 to -30m,181,181n,306.1092487,123.8780179,n,2,2016,181n,1.313275,0.216606,1.604762,0.078615,2
7.50378847,1.500149666,0 to -30m,186,186n,370.6950555,150.0149666,n,2,2016,186n,1.266287,0.225,1.555556,0.073413,2
6.801815952,1.1100357,0 to -30m,183,183n,274.295795,111.00357,n,2,2016,183n,1.299902,0.219512,1.587302,0.077969,2
